,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
NEE,-0.1663112856728973,-0.16631128567289666,0.24969604214398788,0.24969604214398933,-0.5762282054603644,0.5762282054603566,0.2597733388091508,0.25977333880915077,-0.10232942133781621,0.10232942133783463,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
SO,-0.37983758111680727,-0.3798375811168056,0.17808739955916653,0.17808739955916536,-0.1290925928513566,0.12909259285135122,0.09538974944159348,0.0953897494416077,0.31402485752966236,-0.31402485752967013,0.42131078407950745,-0.4213107840795079,-0.0018043725341545403,0.0018043725341510748,-0.10899327118679752,-0.10899327118679787,-0.031208948531045867,0.031208948531045954,-0.09629648457290498,-0.0962964845729047
SRE,-0.2868375856115694,-0.28683758561156986,0.12092437728804376,0.12092437728804534,0.3655571660821575,-0.3655571660821585,-0.23987030184005456,-0.23987030184006755,0.18161321028725866,-0.18161321028723812,-0.020327919588657914,0.02032791958865713,0.04483657213484752,-0.044836572134850226,-0.3717217075099647,-0.3717217075099638,0.05391494860822477,-0.05391494860822766,-0.18825764498464775,-0.1882576449846493
DUK,-0.36126693576062674,-0.36126693576062524,0.2988171983578944,0.2988171983578917,-0.2127181125231618,0.21271811252316594,0.23960769411200483,0.23960769411201005,0.26632584837955936,-0.2663258483795462,0.26380426946156227,-0.263804269461562,0.14517112817469122,-0.14517112817469396,-0.10607556050126629,-0.10607556050126446,0.06354662572018328,-0.06354662572018688,0.02542903627249304,0.025429036272492943
XEL,-0.42729723477144727,-0.42729723477144577,0.28307630928845,0.28307630928844985,-0.18445474059494762,0.18445474059494252,0.31933624926184667,0.3193362492618455,0.022075670514415714,-0.0220756705143893,0.10961809350998519,-0.10961809350998633,-0.2038224631704491,0.20382246317045022,-0.16141146671195772,-0.16141146671195583,0.050632496690201485,-0.050632496690207134,0.13645994065017708,0.13645994065018252
D,-0.35997200724206263,-0.3599720072420624,0.26845293224263445,0.2684529322426349,0.2140790542962956,-0.21407905429629465,-0.2624645676942747,-0.26246456769427373,0.06804529487403614,-0.0680452948740479,0.0957769737944407,-0.09577697379444194,-0.14024966630478675,0.1402496663047854,-0.30891938434409855,-0.3089193843440953,0.22280942829390138,-0.2228094282939106,0.07132390389343311,0.07132390389344273
CNP,-0.28054881087413136,-0.28054881087413114,0.03775143836770563,0.03775143836770498,0.01499613745073371,-0.014996137450734841,0.0686533597845463,0.06865335978455421,0.4353154659702,-0.43531546597019694,0.1257125006150748,-0.12571250061507572,0.22614689763292656,-0.22614689763292656,-0.3903762967265756,-0.39037629672657526,0.03084048071560836,-0.030840480715617215,0.07168424053209246,0.07168424053209681
PEG,-0.2542357739102631,-0.2542357739102623,-0.05625313946024491,-0.05625313946024437,-0.3795016838963121,0.3795016838963085,0.16316136692724031,0.1631613669272455,0.01446685958484267,-0.014466859584827482,0.13764777446047494,-0.13764777446047619,-0.11290451834048078,0.11290451834047711,-0.4540009782430979,-0.4540009782430953,-0.14961873352860897,0.14961873352860952,0.033916250635299725,0.033916250635288754
AEP,-0.2783230405741957,-0.27832304057419494,0.29853055351020974,0.2985305535102095,-0.1272999864638226,0.12729998646381852,-0.07310205453947213,-0.07310205453947256,-0.16860598875667682,0.16860598875668098,0.195983303441175,-0.1959833034411762,-0.2205034171379404,0.22050341713794167,-0.1660296770725393,-0.16602967707253766,0.10527720681733473,-0.10527720681734357,0.3971879418976955,0.39718794189769646
EXC,-0.2963649882607682,-0.29636498826076746,0.12286608022315663,0.12286608022315555,-0.2714878606272936,0.2714878606272915,0.04690839166269979,0.04690839166270789,0.3487666332288621,-0.34876663322885154,0.3781231067054075,-0.37812310670540794,0.0866432992026928,-0.0866432992026962,-0.15055473627973046,-0.15055473627972893,0.010161526552391291,-0.01016152655239807,0.162090621487561,0.1620906214875582
