Ticker,CHTR,CHTR,CHTR,CHTR,CHTR,T,T,T,T,T,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,TMUS,TMUS,TMUS,TMUS,TMUS,CMCSA,CMCSA,CMCSA,CMCSA,CMCSA,GOOG,GOOG,GOOG,GOOG,GOOG,VZ,VZ,VZ,VZ,VZ,DIS,DIS,DIS,DIS,DIS,FOXA,FOXA,FOXA,FOXA,FOXA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,338.42999267578125,352.82000732421875,337.7699890136719,348.9700012207031,2789200,16.304792083659855,16.304792083659855,16.012592079207764,16.08772850036621,42626974,19.610000610351562,20.165000915527344,19.54199981689453,20.10700035095215,109669000,176.4474526579683,180.32040802242759,176.3183647528784,180.16151428222656,18151900,61.438745822944746,62.03486040051518,61.092611465083465,61.5733528137207,2192400,31.019562015436794,31.20935125622446,30.4046349872097,31.178985595703125,19494410,52.02678907009557,52.9498661229892,51.87244815150404,52.85358810424805,24752000,33.98349557053271,34.245595420766755,33.75335864084145,34.22002410888672,16045300,103.51667174907486,106.2340444216465,103.14612158908032,106.22454833984375,11014300,,,,,
2018-01-03,354.05999755859375,364.3800048828125,349.5899963378906,353.0299987792969,2500800,16.05850613333917,16.066854974676065,15.666122186117919,15.716214179992676,51851150,20.204999923706055,20.621000289916992,20.149999618530273,20.5049991607666,85914000,180.6183073679256,183.49818407178765,180.07211967500305,183.38894653320312,16886600,61.429129909865765,61.65988370689863,60.8137815607575,61.159915924072266,2610800,30.93604855802719,31.406733253452014,30.404632546434986,30.677932739257812,22474114,52.819347085920995,53.910164817581695,52.76475622018498,53.72108459472656,28604000,34.07298919302271,34.09856050225317,33.357009604869695,33.51682662963867,16662400,106.59508717730273,107.54521717870793,105.8919857570429,106.68059539794922,9237900,,,,,
2018-01-04,356.75,358.0,346.9700012207031,349.7900085449219,1176400,15.757960662615554,15.941629940108454,15.55342033151642,15.86231803894043,36894187,20.6200008392334,20.704999923706055,20.399999618530273,20.562999725341797,60296000,183.6173686771465,184.91829412009614,182.82293028684023,183.05133056640625,13880900,61.42912131223258,61.534884982638886,60.4580255224169,60.573402404785156,2384400,30.723485948404768,30.913278283605816,30.4425935395091,30.875320434570312,19359435,53.99502898076155,54.271455336055325,53.79661553689371,53.91562271118164,20092000,33.478464562901756,33.810884216386505,33.13326169536451,33.62549591064453,12062800,107.3171823094014,107.36469170972462,106.06301097938608,106.63309478759766,7417400,,,,,
2018-01-05,352.0199890136719,354.3999938964844,349.0799865722656,350.8800048828125,1960500,15.92075538635254,15.929104228171093,15.778829292023934,15.920755386352539,29386048,20.725000381469727,21.00200080871582,20.55900001525879,20.999000549316406,70332000,184.3025790494323,185.6034892997764,183.64715375976655,185.55384826660156,13574500,61.09261649305239,62.313696391453206,60.68879181972402,62.111785888671875,3292600,31.057515069665918,31.308038682849766,30.677930466635015,31.156204223632812,18147003,54.29279342521115,54.80147894010034,54.19353559096735,54.701229095458984,25582000,33.75335941522909,33.8045020401625,33.46568824651511,33.54879379272461,13348900,107.0606326438517,107.0606326438517,105.69244332926078,106.05349731445312,6008300,,,,,
2018-01-08,354.4700012207031,360.19000244140625,351.6300048828125,356.54998779296875,1485700,15.924931644924468,16.0626833342397,15.799702165635376,15.9666748046875,35276524,21.00200080871582,21.25,20.8439998626709,21.204999923706055,55802000,185.90141274321354,187.58961701399005,185.0374526791032,186.9739227294922,17994700,61.9771695553748,63.43862726336751,61.83294569352244,62.5925178527832,3606000,30.95124478895465,31.14862936717119,30.586844392262208,30.73108673095703,16207197,54.70123129291965,55.149866120086365,54.67095982938128,54.93497848510742,20952000,33.59993356331119,33.72139362928802,33.267513845327144,33.49125671386719,16212700,105.35991803964468,105.73046816999943,104.07724395388469,104.5333023071289,8052600,,,,,
2018-01-09,356.6600036621094,358.7699890136719,354.1499938964844,354.760009765625,938900,15.984518828715641,16.137440461029282,15.920801839489192,15.925049781799316,37152896,21.211000442504883,21.29800033569336,20.858999252319336,20.930999755859375,61259000,187.3910167084553,187.4903290863987,185.80212473195056,186.5667724609375,12393100,63.45785963146534,63.957827419109904,62.99634469742104,63.073265075683594,5334400,30.7690385317214,31.148623233538217,30.70830411422405,30.82977294921875,18166742,55.0570625781523,55.115125477717996,54.651652154598466,54.90122985839844,18050000,33.69815495023994,33.90505056653319,33.32962197956819,33.36841583251953,14677800,104.63781041346233,105.3314084772872,104.3812785124904,104.45729064941406,5838000,,,,,
2018-01-10,354.0199890136719,356.4599914550781,347.5299987792969,350.8299865722656,1092400,15.882566575185772,15.882566575185772,15.521502316350645,15.555484771728516,54388066,20.756999969482422,21.36400032043457,20.69099998474121,21.25200080871582,59515000,185.64320611712333,186.58661296942847,184.3422959662359,186.53695678710938,10529900,62.669440254778685,62.67905713535525,61.15991276760262,61.42912673950195,3597000,30.693113973864488,31.25489558607852,30.48813730520181,31.194164276123047,21551373,54.44663864071174,54.81884700203979,54.39750762166274,54.720088958740234,20856000,33.226171183513245,33.44599806435538,33.07100071844236,33.420135498046875,12593400,104.47628857515171,104.98935961872402,103.57366802098258,104.01072692871094,6060000,,,,,
2018-01-11,350.2799987792969,356.19000244140625,348.32000732421875,355.2699890136719,1191100,15.576729074690665,15.619206351917073,15.449295097586047,15.496020317077637,54813997,21.429000854492188,21.774999618530273,21.334999084472656,21.724000930786133,76595000,187.09308772995047,187.09308772995047,186.0801742469312,186.46746826171875,9588600,61.47720454532288,61.71757889601663,60.794552686070496,61.38105773925781,3149100,31.277668100872877,32.39364208478703,31.232118079284085,32.34049987792969,39162848,54.90321310488705,54.91437890132685,54.5702118735938,54.864505767822266,19566000,33.54944688495894,33.73694679682086,33.38780954019318,33.691688537597656,15568200,104.75183137436132,105.54044100562709,104.04873721161326,105.45492553710938,6427000,,,,,
