Ticker,AMT,AMT,AMT,AMT,AMT,PLD,PLD,PLD,PLD,PLD,EQIX,EQIX,EQIX,EQIX,EQIX,SPG,SPG,SPG,SPG,SPG,O,O,O,O,O,AVB,AVB,AVB,AVB,AVB,WELL,WELL,WELL,WELL,WELL,VICI,VICI,VICI,VICI,VICI,DLR,DLR,DLR,DLR,DLR,EQR,EQR,EQR,EQR,EQR
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,116.62559019748994,116.67446733148276,114.79262308913687,114.97184753417969,1880600,51.73516962203195,51.93541413571557,51.18249891972991,51.270606994628906,1532200,386.69801351122624,389.28151297553785,380.25205393649793,381.06207275390625,614300,111.79019274357927,112.23128720620034,110.49287122658906,111.84208679199219,1442900,37.51083317336357,37.53714831581177,37.11612157554966,37.2476921081543,1672872,135.820481849324,136.28439684190613,134.61126479809354,134.79379272460938,594800,48.06575645476577,48.50948675847836,47.885254776570456,48.156005859375,1997300,13.097851063403779,13.490786845127575,13.065106935388634,13.16334056854248,427900,86.35756570431555,86.48629797304977,84.79761855341398,85.31255340576172,1224400,47.651207615023495,47.68844916896085,47.271307392827495,47.30855178833008,1238500
2018-01-03,114.90668423243821,116.0879273225821,114.75189834044464,115.41990661621094,1770500,51.23055628771994,51.38274407553419,50.95021518725501,51.17448806762695,1650100,382.95493755498495,385.8709532718726,380.8318451773859,382.8185119628906,464600,111.63456081406278,111.96537435717195,110.17507358034031,111.32319641113281,1849300,37.30030957058222,37.38583052280506,37.05032485026665,37.14900207519531,1593408,135.18923685399457,135.37176475939663,134.3374631712104,135.21205139160156,515500,48.35906773835347,48.64485797235448,48.09583626727684,48.238731384277344,1832600,13.425296457421565,13.490785958255044,13.097850202362501,13.202632904052734,231300,85.71389329287096,87.14510808670205,85.6457371811878,86.09252166748047,1472800,47.30855654497391,47.584171350848294,47.21916941846722,47.55437469482422,1408200
2018-01-04,115.22438866613001,115.64801121536539,113.70913534636871,113.73357391357422,1729600,51.10239752411789,51.23055388624998,50.149234771728516,50.149234771728516,2128500,383.1168377696835,384.08032542976605,381.4968264747425,381.9402160644531,450500,111.23884548526539,111.23884548526539,108.02796656865075,108.06689453125,2159500,37.0240174938763,37.05690818025061,36.34642791748047,36.34642791748047,1939334,134.79380004019058,135.19687241247644,132.725196512266,132.79364013671875,517800,48.21618345801944,48.24626755508999,47.17830506090454,47.20086669921875,1993500,13.196084959747763,13.425297607750558,13.163340831079552,13.228830337524414,447800,85.95621625765968,86.18338981871749,84.82033112013896,85.02478790283203,1458500,47.494776293098624,47.509674619514115,46.65304216236266,46.734981536865234,1917000
2018-01-05,114.23865714118713,114.6215446113698,113.71728030975179,114.46675872802734,2119400,50.39754528550966,50.477644936273244,50.045115988617646,50.109195709228516,2825800,383.8160722044553,384.4896654085676,381.8208967839075,383.2533264160156,335800,108.35884350439024,109.21507104723331,107.91774879012665,109.0723648071289,2126500,36.3793276050774,36.425379757031614,36.122764648970325,36.32012176513672,1471219,132.77085170886426,132.78606527436202,131.66049351853502,132.52748107910156,678200,47.26103175644102,47.366323220221915,46.78721730044982,46.90755081176758,2003300,13.228830337524414,13.228830337524414,13.196084959747763,13.228830337524414,78300,85.47914968269765,86.10767424400109,85.25954450667317,85.57002258300781,1066900,46.6977424621582,46.82437683804117,46.57111092784095,46.6977424621582,2226800
2018-01-08,114.58897068286961,116.69077465331921,114.58897068286961,115.6887435913086,1882100,50.01306412887522,50.71792560903387,49.91694762650903,50.69389724731445,2333300,384.36177162730854,393.37416084279647,381.9828976353074,390.6798400878906,532500,109.5977584632214,110.38263266993704,109.19558194374454,109.7858657836914,1874900,36.34641549726277,36.438514567274574,36.19510803237413,36.36614990234375,1133342,132.2080567849968,132.94575799973322,131.79738338105932,132.6263427734375,546300,46.930118148908576,47.26103460775267,46.87747241384196,47.07301330566406,1623200,13.228830337524414,13.228830337524414,13.1305954533029,13.228830337524414,59200,85.5700256431867,86.85736000119044,85.56245145687052,86.44087219238281,834700,46.67539196177687,47.16702540652137,46.57110651009856,47.010597229003906,1814100
2018-01-09,115.76205672165793,115.88424955210776,114.75188374439391,114.90666961669922,1581600,50.85409607628473,51.2385651610562,50.08515485125313,50.1812744140625,2306100,392.120752904181,393.6896079051015,387.10722386835,388.78692626953125,397500,109.56532573495629,109.88965621674981,107.1133880844197,107.37284851074219,1720900,36.32012358762719,36.35959501284108,35.64911194880954,35.68858337402344,1985258,132.55788280140408,132.86969700931263,131.2573959075564,131.62245178222656,515400,47.00532506759635,47.095574488412474,46.10282225250303,46.15546798706055,2032800,13.228829485681286,13.235377311706543,13.097850481225686,13.235377311706543,224700,86.52416950853443,86.74377468885642,85.1913958316267,85.26712036132812,947300,46.928651271074294,46.9584479221109,46.25079308859915,46.44446563720703,1614200
2018-01-10,114.3852680600334,114.54005389883028,110.81708901610702,112.10424041748047,3330500,49.981030776973,49.981030776973,49.19606961116084,49.21208953857422,2791700,386.26304983589,386.9110647074071,377.08865907761367,377.7196044921875,636300,106.82151295755588,107.10692544593611,105.5825776888633,107.01611328125,1339500,35.5241240695366,35.55043921964522,34.73470064410492,34.90574264526367,3772682,131.09009486710025,131.56922349849853,129.08233377038027,130.0177764892578,604200,45.93735786412392,46.02760727001867,45.65156473165083,45.65908432006836,3072900,13.032363193552918,13.2288317336217,13.032363193552918,13.09785270690918,367500,85.28981029929524,85.35039221495398,82.54097087213646,82.94989013671875,1650600,46.1837518472979,46.19119958924272,45.47609701680856,45.7815055847168,1781800
2018-01-11,112.42198515973399,112.43012720538029,109.57884497306819,109.9535903930664,3244000,49.364274873185764,49.604567661492474,48.94776594755946,49.38029479980469,2161600,377.71969045746573,385.6321921874018,370.93268028036374,371.2311096191406,606400,107.19119855875124,107.34688071592485,106.41929061332203,106.91876220703125,1494600,35.03074165029793,35.35966684438088,34.964955057589684,35.05047607421875,2310958,130.5120623770966,131.0368199165924,128.94540234034093,129.1127166748047,468100,45.90728793342895,46.20060074479717,45.23041000798091,45.25297164916992,2414300,13.09785270690918,13.09785270690918,12.999619061429074,13.09785270690918,37800,83.1770719669179,83.29066162577764,81.20063732336241,81.73828887939453,1714600,46.0198670430992,46.220990147880215,45.35690727635692,45.40904998779297,1677600
