Ticker,FANG,FANG,FANG,FANG,FANG,EOG,EOG,EOG,EOG,EOG,LNG,LNG,LNG,LNG,LNG,OXY,OXY,OXY,OXY,OXY,HAL,HAL,HAL,HAL,HAL,SLB,SLB,SLB,SLB,SLB,COP,COP,COP,COP,COP,DVN,DVN,DVN,DVN,DVN,XOM,XOM,XOM,XOM,XOM,CVX,CVX,CVX,CVX,CVX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,96.08655246399081,98.60786266230069,95.90975062700765,98.30038452148438,1548100,80.58183739256474,81.11573839805612,80.24815209283715,81.04900360107422,1899800,51.704188057795314,52.480327124553796,51.62753437817758,52.41325378417969,3022100,60.60264735923889,60.84011287349749,60.17684497253931,60.57808303833008,2830000,41.478694769889785,42.2587537007061,41.309119694633274,42.06373977661133,7269200,53.79073146138115,55.181532147525836,53.41932394613643,54.93655776977539,8678200,42.17881997071238,42.50038517504903,41.97209823049673,42.354915618896484,3985200,29.69291575221858,30.019757431139656,29.586335647575133,30.00554656982422,4782500,57.74681803609195,58.69755116152234,57.63659062233248,58.5804328918457,11469300,88.14122237368746,89.5645504711134,88.02202862202685,89.4523696899414,5626000
2018-01-03,98.16203609111767,99.7301754583721,97.99292865677214,99.2920150756836,1609900,81.67190543315523,82.92508974713031,81.43461666468646,82.2577133178711,3068400,52.64322084229967,53.79305532998454,52.33659879961344,52.95942687988281,2414400,60.6272213734535,61.50338436056161,60.594466857910156,61.41331100463867,3463300,42.224848200454396,43.31014771964332,41.98744044677466,42.8183708190918,11181900,55.292169590290996,56.61184688572998,54.628375950083004,56.366878509521484,9529200,42.400863058533,43.17415304940903,42.362581896331,43.13587188720703,4105800,30.15475511400394,30.75159770864702,30.083703521250165,30.35370445251465,3908700,58.66999277634975,59.91696951567973,58.43575100266808,59.730953216552734,13957700,89.36824486798174,90.40594534937135,88.97560404496785,90.10444641113281,5805500
2018-01-04,99.25356611599342,100.23749152083896,97.9852282559504,100.02995300292969,978500,81.85727573108427,82.46532846674653,81.38269826214834,82.27252960205078,2125000,53.112736521245864,53.30437620675133,52.34618143444701,52.71029281616211,2300100,61.085758428480226,61.405107074466905,60.68452663559915,61.38054275512695,2706100,43.12361089085611,43.90366678117836,42.58944021456447,43.776485443115234,10142700,56.706666946483395,57.83669131416707,56.31155361553038,57.765567779541016,12252300,43.189467617455456,43.786661946674066,42.944464665947024,43.63353729248047,4897200,30.467383120339324,30.758698934686958,30.048172293795748,30.716066360473633,4243500,59.792954213494795,60.08919788543793,59.54493601111533,59.813621520996094,10863000,89.71180372144867,89.99226908823715,89.19996913771693,89.82398986816406,4598300
2018-01-05,99.70710381558284,100.61415528529162,98.79235791453738,99.91464233398438,873300,82.05748950439967,83.27359494674367,81.65706371376305,83.17719268798828,2221200,52.84444404947947,52.96900674022769,52.12579795808251,52.89235305786133,1652400,61.27410567133238,61.388743345865755,60.79917459267427,61.044830322265625,3240300,43.63232837837259,44.00540127678459,43.19990679591147,43.93756866455078,8617300,57.64704169036328,58.22390989751501,57.09388535113719,58.16069030761719,8552700,43.39618503212514,43.57228070323403,43.013367593888795,43.549312591552734,3771900,30.60239568466998,30.744501617525245,30.247132207754426,30.630817413330078,3722200,59.76540756225586,59.8549676640714,59.04891097918253,59.76540756225586,11047600,89.72583028530057,89.81698286747002,89.1158301443071,89.67675018310547,4189200
2018-01-08,100.00689657006491,100.85245126242256,99.46111974710864,100.69103240966797,1428100,83.37741138620562,83.95580232973182,82.791603578493,83.57762145996094,1934400,53.03608423053,53.04566822608969,51.962907006915145,52.25994873046875,2919500,61.085760782845824,61.60982043990861,60.93018467193537,61.56888198852539,3174600,43.80191943150553,44.39544202366253,43.58146984641529,44.336090087890625,7611900,57.96309320612798,59.20374815551827,57.4573488973923,59.108924865722656,9778900,43.45744024401518,43.993385314941406,43.3272836991421,43.993385314941406,4522900,30.64502318317038,30.84396982982733,30.247127179411706,30.73028564453125,3596000,59.73091941615069,60.040944653865104,59.66202667094066,60.034053802490234,10927100,89.64869420174776,90.18858061834693,89.48742796905039,90.11846160888672,4826100
2018-01-09,100.96776203149567,101.52122155594401,97.86992640796717,98.00060272216797,1290800,83.74074741728111,83.86680580467667,82.71002407110053,82.8360824584961,1944100,52.18328597745072,52.21203430592633,51.02387119010283,51.68502426147461,1764400,61.60164863456604,61.77360515773524,61.257729340942525,61.323238372802734,2985100,44.454799587819295,44.64981357782297,43.751050496797134,44.183475494384766,8587400,59.09317032097545,59.504091710943115,58.919319427447064,59.1879997253418,9370300,44.00105331100564,44.65184202476336,43.9551141502464,44.35324478149414,5519700,30.808440825126844,30.808440825126844,30.154754794843786,30.22580909729004,5826100,59.89629448983377,60.04097089485972,59.696501762079315,59.779170989990234,8131600,90.04834077378679,90.40593273666182,89.59961228818105,89.6346664428711,4422300
2018-01-10,98.22352811062356,98.91534667875025,97.19348296098894,97.84687042236328,1487700,83.00664886761204,84.34881278150037,82.94732526787746,83.05855560302734,4750900,51.68503376014688,51.91500215410057,51.2538489612221,51.62754440307617,2373500,61.33141748805535,61.37235594011125,60.70909429233606,60.79916763305664,4094300,44.17498364954908,44.590450382149356,43.80191392383022,44.488704681396484,9714200,59.361825430246604,60.11253830217053,59.266996066118594,59.74113082885742,10017600,44.51401061430611,44.62119902817315,44.06994391104764,44.138851165771484,4627900,30.232916372303922,30.325285620038592,29.813705430055535,29.970022201538086,3457100,59.937628238614984,60.06852818916024,59.23491353060637,59.30380630493164,10822300,89.96422698823329,90.27974119886356,89.60664564267377,90.20963287353516,5292200
2018-01-11,97.86223120960472,101.35978410564176,97.278029186415,99.85314178466797,1493300,83.6369347509542,85.80961178220801,83.3922291796484,85.37952423095703,3828100,51.819176477946776,52.76778728191322,51.6179527922124,52.16412353515625,2334500,61.11852623615351,62.223964577981526,60.815551654704635,62.08476257324219,5061100,44.5734984329605,45.52313265257413,44.2767387500931,45.2178955078125,9086700,59.79643506797654,61.02128849842949,59.59887845202925,60.8869514465332,10248700,44.536986855284624,45.539969763642596,44.05463890483685,45.310279846191406,7341800,30.282641349842542,30.950538053607737,30.019747280511424,30.602378845214844,6856900,59.49670969141564,60.1925388190478,59.20046602370546,59.889404296875,14366000,90.39189429342608,93.47694834324369,90.2797081755439,92.95108795166016,11641300
