Ticker,COST,COST,COST,COST,COST,PEP,PEP,PEP,PEP,PEP,CL,CL,CL,CL,CL,HSY,HSY,HSY,HSY,HSY,MKC,MKC,MKC,MKC,MKC,PG,PG,PG,PG,PG,KO,KO,KO,KO,KO,KMB,KMB,KMB,KMB,KMB,GIS,GIS,GIS,GIS,GIS,WMT,WMT,WMT,WMT,WMT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,167.75176464955948,170.84284561580282,167.31274991712806,168.72837829589844,2509300,93.05374207748251,93.24771719180065,91.50194116293741,91.6028060913086,4165800,61.97432985297042,62.44264947328341,61.489574446167346,61.736061096191406,4352500,93.18977398104134,93.60858144859249,91.941546536464,92.06472778320312,845800,43.92746954785226,44.06096046080068,43.29015162773696,43.59158706665039,1736800,73.84526721960214,73.85330258119286,72.7446617198901,72.82499694824219,7558900,35.78110472259265,35.80448502028681,35.46935354563252,35.49273681640625,10872200,90.16141227313678,90.29574785837154,88.76582081451001,88.86283874511719,2058700,43.94950207236057,44.00866197422211,43.29872622568029,43.66109085083008,4103600,29.12264505629327,29.266352464317606,28.893888585528973,28.914419174194336,30451500
2018-01-03,169.17632420287043,172.1150918935132,168.7820969346256,170.7532196044922,3364400,91.48641343840502,91.9209157416771,91.27691702814892,91.36226654052734,4224000,61.71142794389134,62.21261298457222,61.341704151842904,61.497806549072266,3310000,92.16324490565991,92.32748233923289,91.45701266383443,91.6787338256836,818800,43.52697080384651,43.72936226645758,43.221231697586376,43.69491195678711,1643200,72.88924395802815,73.17844946052249,72.72053206523046,72.73660278320312,5863600,35.45377750261356,35.609650156879404,35.33687003883387,35.4148063659668,12635600,89.1762914903219,89.27331512018313,87.07916900432151,87.37769317626953,2496000,44.06782027672199,44.09000488506551,43.417044495320326,43.43183517456055,3118800,28.990672902593033,29.327942463756493,28.96720889194406,29.166641235351562,26710800
2018-01-04,172.02549662071493,172.29428919345642,168.0474048239436,169.4272003173828,3525800,91.40107534453622,92.41750303937744,91.24589170280241,91.81230163574219,3147000,61.66211148697989,62.409776704038904,61.60459877797535,61.89216232299805,2501700,92.12218871552476,92.57385108662756,91.83477005448522,92.31927490234375,679700,43.63461869300427,44.28485093758837,43.466677566483945,43.97050094604492,1523000,72.9695942380571,73.72475265086825,72.79285307893609,73.25077056884766,6322500,35.508325570565134,36.02271294440247,35.422593846078975,35.91360092163086,12709400,87.81802034751387,89.21361771136755,87.45979586188734,88.38521575927734,2007200,43.638903483454094,44.0826154427212,43.35788901238889,43.93471145629883,3211100,29.193025588989258,29.2634108848636,29.00826041146398,29.193025588989258,20491200
2018-01-05,169.72286799692918,169.94685954335685,167.2948072896142,168.2176513671875,2819000,91.87433529607999,92.40194169048463,91.75018843646849,92.07606506347656,2714200,62.03181792432313,62.097548507337656,61.73603656917116,61.966087341308594,2852800,92.43423706465596,92.9105343986332,91.66231360003604,92.7627182006836,767100,44.1427636948643,44.48295316912171,43.81118515681971,44.4011344909668,1822200,73.32307303710967,73.34717911990778,72.76072035551115,73.2989730834961,5949700,35.86683171700924,36.007119430840866,35.68757585446421,35.905799865722656,13113100,88.44493259206968,88.72852748581619,87.84788411758873,88.1911849975586,1421400,44.06042984163494,44.334050376693256,43.86815381729809,44.31186294555664,2308100,29.222364277999826,29.43939044492553,29.21356737126152,29.366071701049805,21852000
2018-01-08,167.83237854381787,169.31967189845773,167.76965435377028,168.87168884277344,1961800,91.71919912139299,92.13042544699078,91.30021213314681,91.54850006103516,5730400,61.75247976509454,62.13863288274852,61.62101858327808,62.05647277832031,1688600,92.98446265162227,94.1341374402893,92.79558392762256,93.66605377197266,869700,44.27625709921434,44.60783237090398,44.21597068617986,44.44850540161133,1465600,73.04992694408844,73.72475011477218,73.04992694408844,73.68458557128906,4860700,35.81227391867002,35.92917835894902,35.75771791859069,35.85124206542969,7068600,88.07176763270272,89.22108210038574,88.04191464334887,89.13152313232422,2139900,44.20832667291806,44.51892528909895,44.0530287753444,44.45976257324219,3332700,29.401253940516018,29.841172935355083,29.389520261271347,29.800111770629883,26531700
2018-01-09,169.3465751804851,169.60641304770337,166.78411117089212,166.9095458984375,2241900,91.75797131205078,92.31662047626959,91.51743819322633,91.6183090209961,4573600,62.09754815376945,62.33581681453042,61.82641420168836,62.14684295654297,2518300,93.75638652380772,93.97811399457869,93.3293653532698,93.43611907958984,584100,44.482945208280434,44.70686564873214,44.38820850007929,44.405433654785156,1139000,73.48374336740541,73.62834920598713,73.11419647529299,73.14633178710938,6630100,35.85125403532345,36.131829542597046,35.80449045975118,36.03050994873047,9962400,89.14645011613952,89.14645011613952,87.13142165728996,87.16873931884766,2322700,44.49704816372297,44.49704816372297,44.139163400984415,44.228633880615234,2865600,29.923289051881397,30.01714170582819,29.41885159435061,29.442312240600586,21938100
2018-01-10,166.42572114484534,166.8647495032021,164.75026873076584,166.1300506591797,2609500,91.6570861185098,91.83554576452828,90.5475486244911,91.15275573730469,3363900,61.785340183685506,62.01539725704573,61.20199528016854,61.47312927246094,3138300,91.43239227765254,91.96617345647415,89.97887123649996,91.00537109375,1309600,44.108312240941316,44.26764248235128,43.59587448738625,43.742286682128906,1097200,73.03384875639065,73.03384875639065,72.3108196872701,72.68036651611328,6564700,36.03049972545308,36.0538800200653,35.79668786009343,35.905799865722656,10700700,86.9149937728807,87.0120117237663,84.27306384030463,85.7955322265625,2700000,43.90801786796448,43.9602092057629,43.51285406914371,43.71416473388672,3097200,29.254619402691173,29.295677219866686,28.896819304596214,29.231155395507812,23791200
2018-01-11,166.13896303684064,170.8338296351681,165.7805821178532,169.67803955078125,4678600,91.27691890896139,91.43985727604586,90.29928278680458,90.6872329711914,3685200,61.588178330907716,61.61282574541693,61.111640755673825,61.251319885253906,2007400,90.9478940195358,90.98074276920681,90.19239157287751,90.40589904785156,763900,43.71645515240092,43.8585602619808,43.41502305816791,43.49253463745117,1529400,72.62413514570102,72.72053494061645,72.23851757848941,72.42329406738281,5469700,36.030503571026294,36.030503571026294,35.74213567207422,35.882423400878906,7583200,85.825389149904,86.00450141123588,83.82528420109033,84.10887908935547,3252100,43.76635516888907,43.83345872241922,43.18479009022291,43.31154251098633,2878400,29.23995386652521,29.45991339743873,28.9701362601765,29.333803176879883,19613100
